movie_id,movie_name,release_year
tt0050976,Det sjunde inseglet,1957
tt0978762,Mary and Max.,2009
tt3170832,Room,2015
tt0892769,How to Train Your Dragon,2010
tt0198781,"Monsters, Inc.",2001
tt0073195,Jaws,1975
tt0118715,The Big Lebowski,1998
tt0097165,Dead Poets Society,1989
tt0046438,Tôkyô monogatari,1953
tt0019254,La passion de Jeanne d'Arc,1928
tt0395169,Hotel Rwanda,2004
tt1950186,Ford v Ferrari,2019
tt0075148,Rocky,1976
tt0091763,Platoon,1986
tt1895587,Spotlight,2015
tt0088247,The Terminator,1984
tt0382932,Ratatouille,2007
tt0092005,Stand by Me,1986
tt3315342,Logan,2017
tt1979320,Rush,2013
tt0074958,Network,1976
tt0048473,Pather Panchali,1955
tt0758758,Into the Wild,2007
tt0381681,Before Sunset,2004
tt0032138,The Wizard of Oz,1939
tt0107048,Groundhog Day,1993
tt0036868,The Best Years of Our Lives,1946
tt0070047,The Exorcist,1973
tt0035446,To Be or Not to Be,1942
tt0317705,The Incredibles,2004
tt0058946,La battaglia di Algeri,1966
tt0113247,La haine,1995
tt1028532,Hachi: A Dog's Tale,2009
tt0476735,Babam ve Oglum,2005
tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl,2003
tt15097216,Jai Bhim,2021
tt0032551,The Grapes of Wrath,1940
tt0245712,Amores perros,2000
tt0032976,Rebecca,1940
tt0061512,Cool Hand Luke,1967
tt4016934,Ah-ga-ssi,2016
tt0053198,Les quatre cents coups,1959
tt0059742,The Sound of Music,1965
tt0025316,It Happened One Night,1934
tt0060827,Persona,1966
tt0079470,Life of Brian,1979
tt0129167,The Iron Giant,1999
tt0071411,Dersu Uzala,1975
tt1454029,The Help,2011
tt0103639,Aladdin,1992
tt0083987,Gandhi,1982
tt0099348,Dances with Wolves,1990
